track id,track name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7xbWAw3LMgRMn4omR5yVn3,Lose Somebody,Kygo,0.58,0.586,1.0,-6.883,1.0,0.0357,0.344,0.0,0.0755,0.507,147.988
49dFIRQCQxPWgoH0m38XQ5,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,0.696,0.686,5.0,-6.113,0.0,0.0309,0.262,0.0,0.174,0.7,115.982
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),Social House,0.769,0.479,1.0,-5.339,1.0,0.0385,0.66,0.0,0.0914,0.803,96.051
7k6tAZp4m93oswrPqSfBbc,On Me (feat. Ava Max),Thomas Rhett,0.548,0.721,8.0,-4.466,1.0,0.0472,0.0119,0.0,0.216,0.594,177.918
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Marshmello,0.63,0.633,4.0,-7.088,1.0,0.0457,0.00776,0.0,0.0541,0.452,93.995
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,0.606,0.799,9.0,-4.452,1.0,0.0261,0.0128,0.0,0.15,0.638,103.014
4ZTTUAjJCd4NMZmIU7RB4c,Midnight (feat. Liam Payne),Alesso,0.587,0.648,11.0,-6.927,0.0,0.0439,0.0561,0.0,0.115,0.281,144.028
5Gj1wG8b12VQdEd3hUuSwo,Freedom,Kygo,0.715,0.635,7.0,-6.591,1.0,0.0791,0.127,0.0,0.0862,0.39,112.887
